title,date,article_body,link,category,summary,company_name,funds
Lifelong Group-led consortium snaps up GoMechanic,29 March,"A consortium led by auto component maker Lifelong Group on Wednesday said it has bought beleaguered car workshop and auto spare parts platform GoMechanic, nearly two months after the latter’s co-founders admitted to falsifying figures to investors.The financial details of the deal were not disclosed.Lifelong Group will become the majority shareholder under Gurugram-based car care startup Servizzy, marking a new phase for the GoMechanic business, it said in a statement.The acquisition of GoMechanic business aligns with the group's strategic vision of synergizing its proven expertise in the automotive industry, said Lifelong, which caters to major players such as Hero Moto Corp, General Motors, Arvin Meritor, and Stanley Black & Decker.  The sale was initiated by the board and shareholders of GoMechanic, with support from venture debt investor Stride Ventures, in response to recent financial difficulties at the Gurgaon-based company. The Servizzy consortium, led by the Lifelong Group, emerged as the strongest bidder in the sale process, based on the core value proposition offered by GoMechanic.The acquisition will enable the preservation of the ecosystem at large, and the continued livelihood of GoMechanic's employees, LifeLong pointed out in a press statement.   Founded in 2016, GoMechanic connects car owners with repair service providers locally to provide a range of services, including regular maintenance, repairs, and car cleaning. It had 1,100-1,200 employees before it laid off nearly 70% of its staff.  Late last year, Japanese marquee investor SoftBank found irregularities in the five-year-old firm’s growth and revenue numbers while inspecting financial accounts ahead of a potential investment. The startup was looking to raise fresh capital from SoftBank and Khazanah Nasional at a valuation of over $800 million.  The founders of GoMechanic admitted to falsifying figures in January. Following this, GoMechanic’s investors ordered a forensic audit of its accounts by EY to examine claims of fraud and financial misreporting. “We are deeply distressed by the fact that the founders knowingly misstated facts, including but not limited to the inflation of revenue, which the founders have acknowledged. All of this was kept from investors,” major investors of the company said in a joint statement. GoMechanic was last valued at $285 million after raising $42 million, according to estimates by VCCedge, the data intelligence platform of VCCircle. It counts Sequoia Capital, Tiger Global Management, Orios Venture Partners, Brand Capital, Chiratae Ventures and Elina Investments as its investors. Sequoia Capital owned the largest stake at 26.89%, followed by Orios Venture Partners at 17.1%, Tiger Global at 10.03%, and other investors with a combined 11.2% stake. Orios has already written down its investment in the startup.Post admitting to the financial irregularities, GoMechanic continued operations across 800 workshops and serviced 30,000 vehicles in January, Lifelong added.Share article on",https://www.vccircle.com//lifelonggroup-led-consortium-snaps-up-gomechanic,Merger/Acquisition,"A consortium led by auto component maker Lifelong Group on Wednesday said it has bought beleaguered car workshop and auto spare parts platform GoMechanic, nearly two months after the latter’s co-founders admitted to falsifying figures to investors.The financial details of the deal were not disclosed.Lifelong Group will become the majority shareholder under Gurugram-based car care startup Servizzy, marking a new phase for the GoMechanic business, it said in a statement.The acquisition of GoMechanic business aligns with the group's strategic vision of synergizing its proven expertise in the automotive industry, said Lifelong, which caters to major players such as Hero Moto Corp, General Motors, Arvin Meritor, and Stanley Black & Decker.The Servizzy consortium, led by the Lifelong Group, emerged as the strongest bidder in the sale process, based on the core value proposition offered by GoMechanic.The acquisition will enable the preservation of the ecosystem at large, and the continued livelihood of GoMechanic's employees, LifeLong pointed out in a press statement.","['Lifelong Group', 'GoMechanic', 'Lifelong Group', 'Gurugram', 'GoMechanic', 'GoMechanic', 'Hero Moto Corp', 'General Motors', 'Stanley Black & Decker', 'the Lifelong Group', 'GoMechanic', 'GoMechanic']","['over $800 million', '$285 million', '$42 million']"
Kae Capital-backed LoanTap snaps up Unofin to boost healthcare lending play,29 March,"Pune-based digital lending platform LoanTap Financial Technologies Pvt Ltd on Wednesday said it has bought healthcare-focussed fintech firm Unofin in an effort to ramp up its exposure in the healthcare financing space. The financial details of the transaction were not disclosed. Loantap, which counts Kae Capital, India Quotient, Lighthouse Canton, Avaana Capital, 3one4 capital and Tuscan ventures, among others as its investors, said that through this buyout it aims to offer affordable financing options for healthcare needs to individuals without any insurance coverage or those who may need more funds beyond insurance capping.  LoanTap further said that it plans to expand its reach in the rapidly growing healthcare sector in India by leveraging the fintech healthcare expertise of Unofin, which has already serviced over 12,000 customers with Rs 120 crore of gross loan disbursals so far.  Unofin has tie-ups with 1600 healthcare service providers in seven cities, including Delhi NCR, Jaipur and Chandigarh. Earlier, it had raised capital from LV Angel Fund, First Cheque, family offices and other HNI investors. It counts LoanTap, Faircent and Aditya Birla Capital as its lending partners.   LoanTap’s cofounder and chief executive officer Satyam Kumar said that the acquisition is a strategic move for the company to expand its product offerings and tap into the immense potential of the healthcare sector.  “We believe that healthcare financing is a niche segment with tremendous growth potential. Unofin's deep understanding of the industry will help us create innovative solutions that cater to the unique needs of healthcare professionals and institutions,"" Kumar added. The acquisition will also enable LoanTap to leverage Unofin's strong relationships with leading hospitals, clinics, and medical equipment suppliers to offer customized financing solutions to these entities. It plans to introduce a range of products such as equipment financing, working capital loans, and term loans to healthcare professionals and institutions, the statement said. LoanTap was founded by Satyam Kumar and Vikas Kumar in 2016. The non-bank financial institution (NBFC) offers loans and overdraft products to salaried professionals with earnings of Rs 30,000 and above. It also offers credit to lenders, anchors, and merchants.  It has raised close to Rs 170 crore in equity and Rs 23.8 crore in venture debt so far.  The platform pits against the likes of PaySense and EarlySalary.  LoanTap’s acquisition of Unofin comes at a time when the digital lending space is witnessing a slew of consolidations as raising fresh capital gets tougher with the uncertain macroeconomic conditions.  For instance, last month, Mumbai-based Lendingkart acquired retail lender Upwards Fintech to offer personal loans to small businesses. Also, in November, Tiger Global-backed fintech unicorn Cred bought lending-based big data company CreditVidya in a cash and stock deal. The same month also saw Walmart-backed digital payments and financial services provider PhonePe acquiring buy-now-pay-later (BNPL) fintech startup ZestMoney.Share article on",https://www.vccircle.com//kaecapital-backed-loantap-snaps-up-unofin-to-boost-healthcare-lending-play,Merger/Acquisition,"LoanTap further said that it plans to expand its reach in the rapidly growing healthcare sector in India by leveraging the fintech healthcare expertise of Unofin, which has already serviced over 12,000 customers with Rs 120 crore of gross loan disbursals so far.LoanTap’s cofounder and chief executive officer Satyam Kumar said that the acquisition is a strategic move for the company to expand its product offerings and tap into the immense potential of the healthcare sector.","['LoanTap', 'LoanTap']",[]
Jindal Stainless buys $157-mn stake in Indonesian firm to secure nickel supply,28 March,"India's Jindal Stainless Ltd on Tuesday said it would acquire a 49% stake in Indonesia-based New Yaking Pte. Ltd for $157 million as it seeks to secure a supply of nickel, a key ingredient in the production of stainless steel.The deal includes the construction and operation of a nickel pig iron facility in Indonesia's Halmahera Islands. The plant will be commissioned within two years and will have an annual nameplate production capacity of up to 200,000 metric tonnes, the company said in a statement.For the company's annual stainless steel production of 2.9 million tonnes, the total requirement of nickel is 125,000 tonnes, of which 15%-16% is sourced through nickel pig iron. Following this acquisition, the company expects to fully meet its nickel pig iron needs.The investment from India's biggest stainless steel manufacturer comes at a time when India is deficient in nickel ore, it said.Nickel prices had slumped 28% over about seven weeks, weighed down by concern about weak demand and rising output in major nickel ore producer Indonesia, before rebounding last week.Abhyuday Jindal, managing director, told Reuters in an interview last month he expects the firm's exports to jump to 25%-30% of overall sales in the next fiscal year beginning April, from an estimated 12% in the current year.Share article on",https://www.vccircle.com//jindalstainless-buys-157-mn-stake-in-indonesian-firm-to-secure-nickel-supply,Merger/Acquisition,"The plant will be commissioned within two years and will have an annual nameplate production capacity of up to 200,000 metric tonnes, the company said in a statement.For the company's annual stainless steel production of 2.9 million tonnes, the total requirement of nickel is 125,000 tonnes, of which 15%-16% is sourced through nickel pig iron.Following this acquisition, the company expects to fully meet its nickel pig iron needs.The investment from India's biggest stainless steel manufacturer comes at a time when India is deficient in nickel ore, it said.Nickel prices had slumped 28% over about seven weeks, weighed down by concern about weak demand and rising output in major nickel ore producer Indonesia, before rebounding last week.Abhyuday Jindal, managing director, told Reuters in an interview last month he expects the firm's exports to jump to 25%-30% of overall sales in the next fiscal year beginning April, from an estimated 12% in the current year.Share article on",['Reuters'],['$157 million']
Bessemer-backed Medi Assist buys Raksha Health; Sportzcraazy snaps up Kabaddi Adda,27 March,"Health insurance third-party administrator Medi Assist Healthcare Services Ltd has bought Raksha Health Insurance TPA Pvt Ltd for an undisclosed amount.Bessemer Ventures-backed Medi Assist said in a statement that it has entered into a definitive pact to acquire 100% stake in Raksha Insurance TPA.“With Raksha, we see opportunities to improve the quality of experience across the in-patient and out-patient care across the ecosystem,"" said Satish Gidugu, director, Medi Assist Insurance TPA.Founded in 2002, New Delhi-based Raksha Insurance TPA provides health benefits administration and has services connecting the insurer, insured and provider. The TPA services corporates and retail policyholders.Meanwhile, Medi Assist is a technology-led health benefits administrator and TPA servicing corporates, retail policyholders and public health schemes.  The company aims to capitalise on Raksha TPA's presence, team, and reputation in the industry to grow its pan-India presence and expand its retail portfolio. This is the company’s fifth TPA acquisition so far.Earlier, Medi Assist acquired Dedicated Healthcare Services TPA (India) Pvt Ltd in 2016 and Medicare Insurance TPA Services (India) Private Limited in 2018.Last year, the firm acquired Medvantage Insurance TPA Pvt Ltd (erstwhile UnitedHealthcare Parekh Insurance TPA) and Mayfair We Care (Mayfair), a UK-based healthcare-focused administration service provider. SportzcraazySportzcraazy Technologies Pvt Ltd, which operates sports technology and media platform Sportzcraazy, on Monday said it has bought around 80% stake in the kabaddi-focused media content platform Kabaddi Adda.Financial details of the deal were, however, not disclosed.With this acquisition, New Delhi-based Sportzcraazy plans to host Kabaddi leagues and tournaments across the country to build local and regional player opportunities. Founded by Vaibhav Jaiswal and Aditee Gulati, Sportzcraazy covers sports news and updates from around the globe on sports such as cricket, football, kabaddi, real money gaming (RMG), fantasy gaming, and esports content.  The company claims to have kicked off its operations from 2018 under a digital performance marketing company Catalyst Web Trendz Pvt. Ltd. Later, after three years, it branched out and started under the name of Sportzcraazy Technologies Pvt Ltd.  “Sportzcraazy plans to work with kabbadi players through grass root engagement enabling regional players,” said Jaiswal. Kabaddi Adda offers its users information on kabaddi tournaments and events along with analysis and coverage of the sport. It was started in 2019 by Arvind Sivdas, Suhail Chandok, Dhanya P and Srikanth Viswanathan.  Recently, Kabaddi Adda, which is valued at Rs 13.33 crore, secured Rs 80 lakh from Vineeta Singh (Sugar Cosmetics) and Namita Thapar (Emcure Pharmaceuticals).Earlier in 2019, it had raised Rs 1.5 crore in a seed funding round from Artha Venture Funds.Share article on",https://www.vccircle.com//bessemerbacked-medi-assist-buys-raksha-health-sportzcraazy-snaps-up-kabaddi-adda,Merger/Acquisition,"Health insurance third-party administrator Medi Assist Healthcare Services Ltd has bought Raksha Health Insurance TPA Pvt Ltd for an undisclosed amount.Bessemer Ventures-backed Medi Assist said in a statement that it has entered into a definitive pact to acquire 100% stake in Raksha Insurance TPA.“With Raksha, we see opportunities to improve the quality of experience across the in-patient and out-patient care across the ecosystem,"" said Satish Gidugu, director, Medi Assist Insurance TPA.Founded in 2002, New Delhi-based Raksha Insurance TPA provides health benefits administration and has services connecting the insurer, insured and provider.This is the company’s fifth TPA acquisition so far.Earlier, Medi Assist acquired Dedicated Healthcare Services TPA (India) Pvt Ltd in 2016 and Medicare Insurance TPA Services (India) Private Limited in 2018.Last year, the firm acquired Medvantage Insurance TPA Pvt Ltd (erstwhile UnitedHealthcare Parekh Insurance TPA) and Mayfair We Care (Mayfair), a UK-based healthcare-focused administration service provider.","['Raksha Health Insurance TPA Pvt Ltd', 'Bessemer Ventures-', 'Raksha Insurance', 'Medi Assist Insurance', 'Raksha Insurance', 'Dedicated Healthcare Services', 'Medicare Insurance TPA Services', 'Medvantage Insurance TPA Pvt Ltd', 'UnitedHealthcare Parekh Insurance']",[]
First Citizens Bank agrees to buy Silicon Valley Bank,27 March,"First Citizens BancShares Inc said on Monday it will acquire Silicon Valley Bank's deposits and loans as well as certain other assets from the Federal Deposit Insurance Corporation (FDIC).The FDIC said in separate statement it has received equity appreciation rights in First Citizens BancShares stock with a potential value of up to $500 million as part of the deal.First Citizens said the transaction was structured to preserve its solid financial position and the combined company remains resilient with a diverse loan portfolio and deposit base.Under the deal, unit First–Citizens Bank & Trust Company will assume SVB assets of $110 billion, deposits of $56 billion and loans of $72 billion.""Prudent risk management approach will continue to protect customers and stockholders through all economic cycles and market conditions,"" the statement said.The FDIC said the purchase of about $72 billion of SVB's assets came at a discount of $16.5 billion.""The FDIC estimates the cost of the failure of Silicon Valley Bank to its Deposit Insurance Fund (DIF) to be approximately $20 billion. The exact cost will be determined when the FDIC terminates the receivership,"" it said.Approximately $90 billion in securities and other assets from SVB will remain in receivership for disposition, the regulator added.From Monday, SVB's 17 former branches will begin operating as Silicon Valley Bank, a division of First Citizens Bank.First Citizens has around $109 billion in assets and total deposits of $89.4 billion.Share article on",https://www.vccircle.com//firstcitizens-bank-agrees-to-buy-silicon-valley-bank,Merger/Acquisition,"First Citizens BancShares Inc said on Monday it will acquire Silicon Valley Bank's deposits and loans as well as certain other assets from the Federal Deposit Insurance Corporation (FDIC).The FDIC said in separate statement it has received equity appreciation rights in First Citizens BancShares stock with a potential value of up to $500 million as part of the deal.First Citizens said the transaction was structured to preserve its solid financial position and the combined company remains resilient with a diverse loan portfolio and deposit base.Under the deal, unit First–Citizens Bank & Trust Company will assume SVB assets of $110 billion, deposits of $56 billion and loans of $72 billion.The exact cost will be determined when the FDIC terminates the receivership,"" it said.Approximately $90 billion in securities and other assets from SVB will remain in receivership for disposition, the regulator added.From Monday, SVB's 17 former branches will begin operating as Silicon Valley Bank, a division of First Citizens Bank.First Citizens has around $109 billion in assets and total deposits of $89.4 billion.Share article on","['First Citizens BancShares Inc', ""Silicon Valley Bank's"", 'the Federal Deposit Insurance Corporation', 'FDIC', 'First Citizens BancShares', 'First Citizens', 'First–Citizens Bank & Trust Company', 'SVB', 'FDIC', 'SVB', 'SVB', 'Silicon Valley Bank', 'First Citizens Bank', 'First Citizens']","['up to $500 million', '$110 billion', '$56 billion', '$72 billion', 'about $72 billion', '$16.5 billion', 'approximately $20 billion', 'Approximately $90 billion', 'around $109 billion', '$89.4 billion']"
VC-backed Redcliffe buys diagnostic lab chain in first acquisition,24 March,"Healthtech platform Redcliffe Lifetech Pvt Ltd has acquired a diagnostic lab chain that caters particularly to premium-priced health services, in a bid to expand the offerings on its existing platform, two people aware of the development told VCCircle. 

Redcliffe, which counts venture capital firm Chiratae Ventures and impact investor LeapFrog Investments ......",https://www.vccircle.com//vcbacked-redcliffe-buys-diagnostic-lab-chain-in-first-acquisition,Merger/Acquisition,"Healthtech platform Redcliffe Lifetech Pvt Ltd has acquired a diagnostic lab chain that caters particularly to premium-priced health services, in a bid to expand the offerings on its existing platform, two people aware of the development told VCCircle.Redcliffe, which counts venture capital firm Chiratae Ventures and impact investor LeapFrog Investments ......","['Healthtech', 'Redcliffe Lifetech Pvt Ltd', 'VCCircle', 'Chiratae Ventures', 'LeapFrog Investments']",[]
Why dealmakers expect M&A activity to pick up despite facing 'brick wall',24 March,"Some of the most prominent rainmakers in the world of corporate mergers struck a note of optimism about dealmaking on Thursday, even as they acknowledged a volatile economic backdrop had significantly impacted M&A activity.The banking crisis that has emerged in the wake of Silicon Valley Bank's failure has shaken boardroom confidence already dented by fears over an economic slowdown, investment bankers and deal lawyers told the Tulane Corporate Law Institute conference in New Orleans.""There is a brick wall in front of M&A activity,"" said Anu Aiyengar, global head of M&A at JPMorgan Chase & Co.""When you look at what's happening in China, geopolitical tensions, interest rates, bank runs, liquidity crisis, increased chances of recession - throw everything together and it seems quite formidable.""With financing having dried up for private equity-backed leveraged buyouts, buyers will have no option but to put up a lot of equity to get deals done in the near term, the conference participants said.""We are in for choppiness,"" said Scott Barshay, chair of the corporate department at law firm Paul, Weiss, Rifkind, Wharton & Garrison LLP. ""There is a giant struggle right now. And it's a giant struggle because there's a lot of dry powder for the equity part of private equity deals. What there's not is a lot of leverage for the leverage part of the leveraged buyout.""M&A volumes declined considerably last year amid fears of faster interest rate hikes, possible recession, weaker credit markets and a tumbling stock market.The total value of deals last year fell 37% from a record high in 2021 to $3.61 trillion, according to Refinitiv data. That is the biggest year-over-year percentage drop since 2001 when the U.S. economy fell into recession.Global dealmaking this year through mid-March has tumbled nearly 50% in terms of dollar volumes from a year ago and is off nearly 30% in terms of the number of deals being done, according to Refinitiv.Dealmakers, however, said they expect the impact from the banking crisis on broader M&A activity to be contained, as most of the worst affected regional banks are not major advisers or lenders on deals.The technology sector remains the best hunting ground for corporate acquirers or private equity financiers, deal advisors said.""There is really no part of the world that allows you to have an organic growth trajectory that lets you meet the market possible for trading at a premium valuation, which means you have to look at inorganic growth opportunities,"" said Aiyengar.Dealmakers also predicted an increase in unsolicited approaches from cash-flush buyers who are taking advantage of a drop in valuations of potential targets, who are now more willing to entertain bids than they were a few months ago.Increased regulatory uncertainty due to greater scrutiny on deals from antitrust regulators also is likely to impede the speed of deals getting across the finish line, with dealmakers criticizing the adversarial stance taken by the Federal Trade Commission and the Department of Justice.""In this very narrow context of who's going to be running the DOJ antitrust division and the FTC in the future, our business will be a lot better if it's somebody else,"" said Barshay.Share article on",https://www.vccircle.com//whydealmakersexpect-m-a-activity-to-pick-up-despite-facing-brick-wall,Merger/Acquisition,"That is the biggest year-over-year percentage drop since 2001 when the U.S. economy fell into recession.Global dealmaking this year through mid-March has tumbled nearly 50% in terms of dollar volumes from a year ago and is off nearly 30% in terms of the number of deals being done, according to Refinitiv.Dealmakers, however, said they expect the impact from the banking crisis on broader M&A activity to be contained, as most of the worst affected regional banks are not major advisers or lenders on deals.The technology sector remains the best hunting ground for corporate acquirers or private equity financiers, deal advisors said.""There is really no part of the world that allows you to have an organic growth trajectory that lets you meet the market possible for trading at a premium valuation, which means you have to look at inorganic growth opportunities,"" said Aiyengar.Dealmakers also predicted an increase in unsolicited approaches from cash-flush buyers who are taking advantage of a drop in valuations of potential targets, who are now more willing to entertain bids than they were a few months ago.Increased regulatory uncertainty due to greater scrutiny on deals from antitrust regulators also is likely to impede the speed of deals getting across the finish line, with dealmakers criticizing the adversarial stance taken by the Federal Trade Commission and the Department of Justice.","['Refinitiv', 'Aiyengar', 'the Federal Trade Commission', 'the Department of Justice']",['$3.61 trillion']
Unacademy eyes stake in Byju's-owned Aakash,23 March,"Edtech firm Unacademy, which counts Singapore&#39;s Temasek, Japan&#39;s SoftBank and US-based General Atlantic and Tiger Global among its backers, is in exploratory talks to buy a stake in test prep unit Aakash Educational Services Ltd that is owned by Byju&#39;s, the country&#39;s most valuable startup, two people with knowledge of the development said, ......",https://www.vccircle.com//byjus-considers-sale-of-its-biggest-cash-cow,Merger/Acquisition,"Edtech firm Unacademy, which counts Singapore&#39;s Temasek, Japan&#39;s SoftBank and US-based General Atlantic and Tiger Global among its backers, is in exploratory talks to buy a stake in test prep unit Aakash Educational Services Ltd that is owned by Byju&#39;s, the country&#39;s most valuable startup, two people with knowledge of the development said, ......","['SoftBank', 'General Atlantic and Tiger Global', 'Aakash Educational Services Ltd']",[]
PhysicsWallah strikes maiden overseas bet with UAE firm Knowledge Planet,21 March,"Edtech unicorn PhysicsWallah has acquired United Arab Emirates (UAE)-based edtech startup Knowledge Planet, marking its foray into the global market. Financial details of the deal were, however, not disclosed. PhysicsWallah said in a statement that it will leverage Knowledge Planet’s established school partnership machinery to reach the maximum number of students in the MENA (Middle East and North Africa) region. With the acquisition, PhysicsWallah will offer SAT preparation to students looking towards the West for higher education. The deal will also help the company provide one-on-one STEM courses, the statement added.  Knowledge Planet was founded in 2011 by Monika Oli and Sachin Bharti Gupta. The company provides test preparation for entrance exams such as Joint Entrance Examination and National Eligibility cum Entrance Test. It currently has 13 centres operating across the Middle East and also works in school partnerships.  “Knowledge Planet has been on a mission to provide excellent higher education opportunities to Indian expats in the Middle East through in-depth training to help them succeed. We are well-aligned with Alakh Pandey’s vision to offer high-quality education at scale in the Middle East,” said Bharti. Founded in 2020 by Prateek Maheshwari and educator Alakh Pandey, PhysicsWallah helps students prepare for engineering and medical entrance exams through lectures and sessions on YouTube, the PhysicsWallah app, and its website. It competes with Byju’s, Unacademy and Vedantu, among others. It turned unicorn in June last year after raising $100 million in its Series A funding round from Westbridge and GSV Ventures.   Post its maiden funding round, PhysicsWallah has been on an acquisition spree. It has been actively seeking merger and acquisitions (M&A) opportunities to mark its expansion into new businesses and markets.  “We’re looking to build across categories, primarily test prep, upskilling, and international. Our acquisition strategy is evolving continuously,” Maheshwari had told VCCircle in an earlier interaction.    It had previously acquired medical preparation platform PrepOnline, books publisher Altis Vortex, upskilling platform iNeuron.ai, and doubt-solving startup FreeCo.  Share article on",https://www.vccircle.com//physicswallahstrikes-maiden-overseas-bet-with-uae-firm-knowledge-planet,Merger/Acquisition,"PhysicsWallah said in a statement that it will leverage Knowledge Planet’s established school partnership machinery to reach the maximum number of students in the MENA (Middle East and North Africa) region.Founded in 2020 by Prateek Maheshwari and educator Alakh Pandey, PhysicsWallah helps students prepare for engineering and medical entrance exams through lectures and sessions on YouTube, the PhysicsWallah app, and its website.","['PhysicsWallah', 'PhysicsWallah', 'YouTube']",['$100 million']
Times Group's OTT platform MX Player may go for a song,20 March,"Amazon.com Inc. is in advanced talks to acquire MX Player, the video streaming platform owned by Times Internet, three people with direct knowledge of the development confirmed.

The US e-commerce giant has hired one of the Big Four accounting firms to carry out due diligence of MX Player exclusively, and the ......",https://www.vccircle.com//timesgroup-s-ott-platform-mx-player-may-go-for-a-song,Merger/Acquisition,"Amazon.com Inc. is in advanced talks to acquire MX Player, the video streaming platform owned by Times Internet, three people with direct knowledge of the development confirmed.The US e-commerce giant has hired one of the Big Four accounting firms to carry out due diligence of MX Player exclusively, and the ......","['Amazon.com Inc.', 'Times Internet']",[]
