Question,Answers,Category
How can I cancel my mandate?,"If you need to cancel the mandate registered with us, you can raise a request here or send the mandate cancellation request to wecare@bajajfinserv.in. You can also visit the Bajaj Finserv branch closest to you.",FAQ
Can I cancel all my mandates?,"You can cancel mandates with no active loans. However, if you want to cancel the mandate for an active loan, you need to submit an alternate mandate using My Account. You can also visit the nearest Bajaj Finance Limited branch to cancel the mandate of your active loan.",FAQ
Why am I not able to view all my loans for mandate cancellation?,"We register customer mandates via multiple channels. If you cannot cancel mandates on your loans, then there may be a chance that your mandates are registered in a medium where they cannot be cancelled. You may reach out to your bank if you want to cancel the mandate.",FAQ
How much time will it take to cancel my mandate?,"Once you submit the request, mandate cancellation will take 4-5 working days.",FAQ
Do I need an EMI Network Card to purchase products through Bajaj Finserv Markets?,"Yes, only active EMI Network Card users can shop at Bajaj Finserv Markets.",FAQ
I have exhausted my EMI Network Card limit. How do I buy more products?,You can only shop if you have a sufficient limit on your EMI Network Card. Your EMI Network Card limit will be reinstated when you pay the EMI towards your active loan every month.,FAQ
I am not able to view the product that I wish to buy on the EMI Store. What shall I do?,"All the products in stock are displayed on the Bajaj Finserv EMI Store. If a particular product is not displayed on the page, it implies that the product is out of stock at that moment.",FAQ
How do I make a down payment?,You can make a down payment via cash or card to the delivery person when the product is delivered upon confirmation from the dealer.,FAQ
I want to change the product that I have selected. What do I do?," You can cancel your order through our order placement page or inform the dealer during the confirmation call. You cannot cancel the order after the confirmation call from the dealer.
",FAQ
I want to change my delivery address. What do I do?,"You can change the delivery address within the same city. If you wish to change the delivery address, inform the dealer during the confirmation call.",FAQ
When will my product get delivered?,Your order will be delivered within four working hours of placing it.,FAQ
I have received an incorrect product. What do I do?,You can contact the dealer for product replacement.,FAQ
I have received a faulty/ broken product. What do I do?,You can contact the dealer for product replacement.,FAQ
My order delivery is delayed. What do I do?,You can contact the dealer or raise your query by clicking on the ‘No’ button below.,FAQ
I missed the delivery from the dealer. How do I get my product?,You can collect the order from the dealer’s shop.,FAQ
How can I cancel my order?,You can cancel it on the order page or raise your query by clicking on the ‘No’ button.,FAQ
"The dealer cancelled my order, but my EMI Network Card limit was not restored. Please help.","Your EMI Network Card eligibility will be reinstated in 24 hours. If this does not happen, you can raise a query by clicking on the ‘No’ button below.",FAQ
What are the eligibility criteria to buy products at no-cost EMIs with Bajaj Finserv EMI finance?,"To avail of EMI finance through Bajaj Finserv, you should be an existing Bajaj Finserv EMI Network cardholder.",FAQ
How can I avail myself of EMI finance through Bajaj Finserv?,Select the ‘Interest-free EMI (Bajaj Finserv)’ option on the checkout page and follow these steps:,FAQ
Do I need to pay an added fee to avail of EMI finance through Bajaj Finserv?,"This would depend on the product. Also, some merchants could levy a processing fee.",FAQ
What do I do if my loan application gets rejected?,"Approval/ rejection of financing is solely at the discretion of Bajaj Finance Limited. If your loan application is not accepted, you will need to place a fresh order with a different payment type – COD or prepaid.",FAQ
How will I know the reason for my loan rejection?,Approval of your loan is solely at the discretion of Bajaj Finance Limited. We will send you an SMS on your registered mobile number regarding your rejection.,FAQ
Why has my EMI Network Card been blocked?,"Your EMI Network Card has been blocked in line with our credit policy.
The credit policy considers multiple factors, such as your CIBIL score, income and proof of residence, overall credit performance across other lenders and more.",FAQ
How will I find out the due date of my EMI? What will my EMI be?,"Your loan gets booked after the order is delivered. It takes 1-2 days to process the loan. Once your loan is booked, you can view details such as tenor, loan amount, EMI due date, etc., by logging in to Experia and selecting your EMI Network Card under ‘My Relations’.",FAQ
Can someone else use my EMI Network Card on my behalf?,We recommend that only the cardholder use the EMI Network Card for making purchases for safety and security reasons. Please note that the liability of the loan taken using the EMI Network Card rests solely with the cardholder.,FAQ
Where do I enquire about my loan details or issues with a transaction?,"You can view details such as tenor, loan amount, EMI due date, etc., by logging in to Experia and selecting your EMI Network Card under ‘My Relations’.",FAQ
